=== 고용보험 전체 재수집 리포트 (2026-05-14 23:02) ===


[EC 재수집] 수정:1608건, 동일:6건, 오류:1건
[EC 재수집] 전체 인원 합계: 2,935,260 → 1,680,811 (-1,254,449명)

[5% 이상 변화 기업 목록] (1605건):
  LG전자(066570): 72,505 → 35,797 (-36,708명, 50.6%)
  현대차(005380): 46,673 → 12,510 (-34,163명, 73.2%)
  SK하이닉스(000660): 67,969 → 34,115 (-33,854명, 49.8%)
  이마트(139480): 58,476 → 29,308 (-29,168명, 49.9%)
  LG디스플레이(034220): 50,853 → 25,380 (-25,473명, 50.1%)
  한국전력공사(015760): 47,871 → 23,878 (-23,993명, 50.1%)
  대한항공(003490): 38,220 → 18,945 (-19,275명, 50.4%)
  KT(030200): 51,444 → 32,514 (-18,930명, 36.8%)
  현대건설(000720): 62,217 → 44,801 (-17,416명, 28.0%)
  삼성E&A(028050): 32,702 → 17,976 (-14,726명, 45.0%)
  LG화학(051910): 27,714 → 13,546 (-14,168명, 51.1%)
  중소기업은행(024110): 27,076 → 13,531 (-13,545명, 50.0%)
  삼성SDI(006400): 26,467 → 13,240 (-13,227명, 50.0%)
  동원개발(013120): 14,668 → 1,551 (-13,117명, 89.4%)
  삼성전기(009150): 25,189 → 12,533 (-12,656명, 50.2%)
  LG이노텍(011070): 25,272 → 12,631 (-12,641명, 50.0%)
  현대모비스(012330): 25,419 → 12,941 (-12,478명, 49.1%)
  GS건설(006360): 41,870 → 29,423 (-12,447명, 29.7%)
  한화오션(042660): 26,186 → 14,087 (-12,099명, 46.2%)
  삼성에스디에스(018260): 23,767 → 11,977 (-11,790명, 49.6%)
  현대제철(004020): 23,452 → 11,732 (-11,720명, 50.0%)
  LG유플러스(032640): 20,832 → 10,418 (-10,414명, 50.0%)
  기아(000270): 17,215 → 7,150 (-10,065명, 58.5%)
  KTcs(058850): 19,542 → 9,790 (-9,752명, 49.9%)
  CJ대한통운(000120): 23,888 → 14,224 (-9,664명, 40.5%)
  한화(000880): 26,579 → 17,217 (-9,362명, 35.2%)
  CJ제일제당(097950): 12,434 → 3,610 (-8,824명, 71.0%)
  KTis(058860): 16,747 → 8,385 (-8,362명, 49.9%)
  한화에어로스페이스(012450): 16,713 → 8,369 (-8,344명, 49.9%)
  효성ITX(094280): 16,534 → 8,284 (-8,250명, 49.9%)
  에스원(012750): 16,206 → 7,968 (-8,238명, 50.8%)
  CJ프레시웨이(051500): 16,426 → 8,240 (-8,186명, 49.8%)
  코오롱글로벌(003070): 16,790 → 8,625 (-8,165명, 48.6%)
  태영건설(009410): 16,131 → 8,216 (-7,915명, 49.1%)
  아시아나항공(020560): 15,306 → 7,605 (-7,701명, 50.3%)
  두산에너빌리티(034020): 17,729 → 10,057 (-7,672명, 43.3%)
  LG씨엔에스(064400): 15,067 → 7,504 (-7,563명, 50.2%)
  HDC랩스(039570): 12,752 → 5,817 (-6,935명, 54.4%)
  한전KPS(051600): 13,378 → 6,689 (-6,689명, 50.0%)
  GS리테일(007070): 17,245 → 10,637 (-6,608명, 38.3%)
  코웨이(021240): 34,906 → 28,757 (-6,149명, 17.6%)
  농심(004370): 11,686 → 5,553 (-6,133명, 52.5%)
  SK텔레콤(017670): 14,237 → 8,315 (-5,922명, 41.6%)
  삼성화재해상보험(000810): 55,705 → 49,931 (-5,774명, 10.4%)
  금호타이어(073240): 11,106 → 5,497 (-5,609명, 50.5%)
  삼성생명보험(032830): 41,237 → 35,751 (-5,486명, 13.3%)
  대상(001680): 11,000 → 5,520 (-5,480명, 49.8%)
  한양이엔지(045100): 8,733 → 3,355 (-5,378명, 61.6%)
  LIG넥스원(079550): 10,919 → 5,634 (-5,285명, 48.4%)
  세보엠이씨(011560): 6,964 → 1,779 (-5,185명, 74.5%)
  NAVER(035420): 9,804 → 4,891 (-4,913명, 50.1%)
  넥센타이어(002350): 8,999 → 4,160 (-4,839명, 53.8%)
  DB손해보험(005830): 14,307 → 9,508 (-4,799명, 33.5%)
  아모레퍼시픽(090430): 12,120 → 7,359 (-4,761명, 39.3%)
