Logic #6 파라미터 최적화 결과 — 상위 20개
기간A: 2022-01-01~2023-06-30  기간B: 2023-07-01~2025-04-30
================================================================================
  순위      점수      A수익   A_MDD      B수익   B_MDD  overseas   tech  value     hs   emp   thr강세   thr중립   thr약세  sec_w  pen_low   pen_hi
--------------------------------------------------------------------------------
   1  +22.04    -0.2%   -1.9%   +42.2%   -6.2%      0.28   0.30   0.20   0.14  0.08    0.54    0.59    0.66   0.70   1.0→+0.10   1.3→+0.05
   2  +20.55    +0.4%   -1.1%   +38.6%   -5.5%      0.30   0.28   0.17   0.15  0.10    0.54    0.59    0.66   0.65   1.0→+0.10   1.3→+0.05
   3  +20.11    -0.7%   -2.3%   +39.9%   -6.5%      0.25   0.30   0.22   0.15  0.08    0.56    0.61    0.68   0.70   0.0→+0.00   0.0→+0.00
   4  +19.96    -0.2%   -1.9%   +40.2%   -8.0%      0.25   0.30   0.22   0.15  0.08    0.54    0.59    0.66   0.65   1.0→+0.10   1.3→+0.05
   5  +19.55    -0.1%   -1.2%   +37.4%   -5.6%      0.30   0.30   0.17   0.15  0.08    0.54    0.59    0.66   0.65   1.0→+0.08   1.2→+0.04
   6  +19.43    -2.0%   -2.7%   +41.4%   -7.7%      0.30   0.30   0.17   0.15  0.08    0.56    0.61    0.68   0.70   0.0→+0.00   0.0→+0.00
   7  +19.06    -0.1%   -1.2%   +36.5%   -5.5%      0.30   0.28   0.17   0.15  0.10    0.54    0.59    0.66   0.65   1.0→+0.08   1.2→+0.04
   8  +18.97    +0.5%   -1.6%   +38.5%   -8.6%      0.28   0.30   0.20   0.14  0.08    0.54    0.59    0.66   0.65   0.0→+0.00   0.0→+0.00
   9  +18.68    -0.2%   -1.9%   +37.8%   -7.7%      0.25   0.30   0.22   0.15  0.08    0.56    0.61    0.68   0.65   1.0→+0.08   1.2→+0.04
  10  +18.47    -0.3%   -1.9%   +37.0%   -7.0%      0.30   0.30   0.17   0.15  0.08    0.52    0.57    0.64   0.65   1.0→+0.10   1.3→+0.05
  11  +18.45    -0.2%   -1.9%   +36.8%   -6.9%      0.25   0.30   0.22   0.15  0.08    0.54    0.59    0.66   0.70   1.0→+0.10   1.3→+0.05
  12  +18.17    -0.8%   -1.9%   +36.1%   -5.8%      0.25   0.30   0.22   0.15  0.08    0.54    0.59    0.66   0.70   1.0→+0.10   1.3→+0.05
  13  +18.11    +0.1%   -1.7%   +36.1%   -7.2%      0.25   0.30   0.22   0.15  0.08    0.52    0.57    0.64   0.70   1.0→+0.10   1.3→+0.05
  14  +18.02    +0.8%   -1.1%   +34.7%   -6.2%      0.30   0.28   0.17   0.15  0.10    0.54    0.59    0.66   0.70   1.0→+0.10   1.3→+0.05
  15  +17.94    -0.1%   -1.2%   +36.8%   -8.1%      0.25   0.30   0.22   0.15  0.08    0.52    0.57    0.64   0.65   1.0→+0.10   1.3→+0.05
  16  +17.89    -0.2%   -1.9%   +36.9%   -8.1%      0.25   0.30   0.22   0.15  0.08    0.54    0.59    0.66   0.65   1.0→+0.08   1.2→+0.04
  17  +17.70    +0.3%   -1.0%   +35.4%   -7.3%      0.28   0.30   0.20   0.14  0.08    0.54    0.59    0.66   0.65   1.0→+0.10   1.3→+0.05
  18  +17.50    +0.1%   -1.7%   +37.1%   -9.6%      0.30   0.30   0.17   0.15  0.08    0.54    0.59    0.66   0.65   0.0→+0.00   0.0→+0.00
  19  +17.39    +0.3%   -1.0%   +35.7%   -8.2%      0.28   0.30   0.20   0.14  0.08    0.54    0.59    0.66   0.65   1.0→+0.08   1.2→+0.04
  20  +17.09    -0.0%   -1.3%   +34.7%   -7.5%      0.30   0.30   0.17   0.15  0.08    0.52    0.57    0.64   0.65   1.0→+0.10   1.3→+0.05
